

Hipparcos Constellation Membership

Hipparcos Number,Constellation
HIP 94981,
HIP 94982,Aql
HIP 95002,Aql
HIP 95049,Aql
HIP 95066,Aql
HIP 95073,Aql
HIP 95081,Dra
HIP 95124,
HIP 95149,
HIP 95154,Dra
HIP 95159,Sgr
HIP 95168,Sgr
HIP 95176,Sgr
HIP 95188,Sgr
HIP 95226,Sgr
HIP 95241,Sgr
HIP 95244,Sgr
HIP 95260,Vul
HIP 95261,Tel
HIP 95262,
HIP 95294,Sgr
HIP 95319,
HIP 95347,Sgr
HIP 95372,Cyg
HIP 95398,Sge
HIP 95435,Sge
HIP 95447,Aql
HIP 95453,Aql
HIP 95477,Sgr
HIP 95498,Vul
HIP 95501,Aql
HIP 95503,Sgr
HIP 95556,Cyg
HIP 95560,Vul
HIP 95564,Sgr
HIP 95585,Aql
HIP 95656,Cyg
HIP 95755,Sgr
HIP 95771,Vul
HIP 95785,Vul
HIP 95793,Aql
HIP 95818,Vul
HIP 95820,Aql
HIP 95821,
HIP 95853,Cyg
HIP 95865,
HIP 95929,Aql
HIP 95932,Tel
HIP 95937,Aql
HIP 95947,Cyg
HIP 95951,Cyg
HIP 95995,
HIP 96003,Cyg
HIP 96052,Cyg
HIP 96065,Tel
HIP 96078,
HIP 96100,Dra
HIP 96111,Sgr
HIP 96178,Tel
HIP 96196,Aql
HIP 96198,Cyg
HIP 96204,Aql
HIP 96229,Aql
HIP 96234,Sgr
HIP 96258,820
HIP 96275,Vul
HIP 96292,Cyg
HIP 96295,
HIP 96302,Cyg
HIP 96310,Cyg
HIP 96327,Aql
HIP 96341,Tel
HIP 96387,Cyg
HIP 96406,Sgr
HIP 96440,Sgr
HIP 96441,Cyg
HIP 96465,Sgr
HIP 96468,Aql
HIP 96483,Aql
HIP 96516,Sge
HIP 96536,
HIP 96556,Aql
HIP 96620,Cyg
HIP 96644,Sgr
HIP 96665,Aql
HIP 96683,Cyg
HIP 96688,Sge
HIP 96693,Cyg
HIP 96721,Tel
HIP 96729,Sgr
HIP 96739,Sgr
HIP 96757,Sge
HIP 96807,Aql
HIP 96808,Sgr
HIP 96837,Sge
HIP 96840,Aql
HIP 96895,Cyg
HIP 96901,Cyg
HIP 96919,Cyg
HIP 96931,Aql
HIP 96950,Sgr
HIP 96957,Aql
HIP 96988,Cyg
HIP 97033,
HIP 97063,
HIP 97077,Vul
HIP 97091,Vul
HIP 97118,Cyg
HIP 97135,Sge
HIP 97139,Aql
HIP 97150,Cyg
HIP 97165,Cyg
HIP 97229,Aql
HIP 97278,Aql
HIP 97290,Sgr
HIP 97295,Cyg
HIP 97326,Dra
HIP 97351,Sgr
HIP 97365,Sge
HIP 97421,Tel
HIP 97433,Dra
HIP 97473,Aql
HIP 97485,Cyg
HIP 97496,Sge
HIP 97572,Vul
HIP 97607,Aql
HIP 97630,Cyg
HIP 97634,Cyg
HIP 97635,Cyg
HIP 97649,Aql
HIP 97650,Aql
HIP 97674,Pav
HIP 97675,Aql
HIP 97679,Vul
HIP 97749,Sgr
HIP 97767,
HIP 97783,Sgr
HIP 97787,Aql
HIP 97796,Sge
HIP 97804,Aql
HIP 97845,Cyg
HIP 97849,Sgr
HIP 97870,Cyg
HIP 97871,Aql
HIP 97886,Vul
HIP 97928,Aql
HIP 97938,Aql
HIP 97944,Sgr
HIP 97966,Aql
HIP 97967,Aql
HIP 97980,Aql
HIP 98032,Sgr
HIP 98036,Aql
HIP 98055,Cyg
HIP 98066,Sgr
HIP 98068,Cyg
HIP 98085,Sge
HIP 98103,Aql
HIP 98110,Cyg
HIP 98162,Sgr
HIP 98234,Sge
HIP 98258,Sgr
HIP 98337,Sge
HIP 98353,Sgr
HIP 98375,Vul
HIP 98401,Dra
HIP 98412,Sgr
HIP 98416,
HIP 98421,Sgr
HIP 98425,Cyg
HIP 98438,Sge
HIP 98470,
HIP 98478,Pav
HIP 98495,Pav
HIP 98500,Tel
HIP 98543,Vul
HIP 98571,Cyg
HIP 98583,Dra
HIP 98608,Pav
HIP 98624,Pav
HIP 98633,Sgr
HIP 98636,Vul
HIP 98658,Dra
HIP 98688,Sgr
HIP 98702,Dra
HIP 98754,Sge
HIP 98763,Sgr
HIP 98767,
HIP 98819,Sge
HIP 98823,Aql
HIP 98844,Aql
HIP 98863,Cyg
HIP 98910,Aql
HIP 98920,Sge
HIP 98921,
HIP 98953,Sgr
HIP 98954,Aql
HIP 98959,
HIP 98962,Dra
HIP 99002,Cyg
HIP 99031,Cyg
HIP 99080,Vul
HIP 99120,Tel
HIP 99171,Aql
HIP 99176,Sge
HIP 99221,Cap
HIP 99240,Pav
HIP 99255,Cep
HIP 99303,Cyg
HIP 99352,Sge
HIP 99404,Vul
HIP 99457,Cap
HIP 99461,
HIP 99473,Aql
HIP 99500,Dra
HIP 99518,Vul
HIP 99529,Cap
HIP 99531,Vul
HIP 99539,Cyg
HIP 99572,Cap
HIP 99631,Aql
HIP 99639,Cyg
HIP 99655,Cyg
HIP 99675,Cyg
HIP 99711,Aql
HIP 99738,Vul
HIP 99742,Aql
HIP 99758,Pav
HIP 99770,Cyg
HIP 99824,Vul
HIP 99825,
HIP 99848,Cyg
HIP 99853,Vul
HIP 99874,Vul
HIP 99894,
HIP 99913,Sge
HIP 99918,Cap
HIP 99920,Sgr
HIP 99927,Vul
HIP 99951,Vul
HIP 100017,
HIP 100027,Cap
HIP 100044,Cyg
HIP 100062,Cap
HIP 100064,Cap
HIP 100108,Cyg
HIP 100122,Cyg
HIP 100142,Cyg
HIP 100195,Cap
HIP 100221,Dra
HIP 100250,Cyg
HIP 100287,Cyg
HIP 100310,Cap
HIP 100325,Cap
HIP 100345,Cap
HIP 100412,
HIP 100435,Vul
HIP 100453,Cyg
HIP 100469,Sgr
HIP 100550,Aql
HIP 100587,Cyg
HIP 100591,Sgr
HIP 100751,Pav
HIP 100859,Cyg
HIP 100881,Cap
HIP 100907,Cyg
HIP 100925,
HIP 100926,Aql
HIP 100965,Dra
HIP 100977,Aql
HIP 101027,Cap
HIP 101067,Cyg
HIP 101076,Cyg
HIP 101082,Dra
HIP 101093,Cep
HIP 101101,Aql
HIP 101120,Cap
HIP 101123,Cap
HIP 101138,Cyg
HIP 101160,Del
HIP 101214,Cyg
HIP 101243,Cyg
HIP 101260,Dra
HIP 101421,Del
HIP 101474,Cyg
HIP 101475,Cyg
HIP 101477,Mic
HIP 101483,Del
HIP 101507,
HIP 101589,Del
HIP 101612,Pav
HIP 101641,Vul
HIP 101692,Aql
HIP 101716,Vul
HIP 101751,Cap
HIP 101765,Cyg
HIP 101769,Del
HIP 101772,Ind
HIP 101773,Pav
HIP 101800,Del
HIP 101810,Del
HIP 101847,Aql
HIP 101867,Vul
HIP 101868,Vul
HIP 101875,
HIP 101882,Del
HIP 101916,Del
HIP 101923,Cap
HIP 101936,Aqr
HIP 101958,Del
HIP 101983,Pav
HIP 101984,Cap
HIP 101997,
HIP 102037,Vul
HIP 102040,
HIP 102066,Cyg
HIP 102080,Del
HIP 102096,Mic
HIP 102098,Cyg
HIP 102125,Oct
HIP 102157,Pav
HIP 102158,Del
HIP 102162,Oct
HIP 102177,Cyg
HIP 102195,Cyg
HIP 102208,Dra
HIP 102253,Cep
HIP 102258,Cep
HIP 102264,
HIP 102276,Cyg
HIP 102281,Del
HIP 102333,Ind
HIP 102358,Cep
HIP 102388,Vul
HIP 102395,Pav
HIP 102422,Cep
HIP 102431,Cep
HIP 102440,Del
HIP 102453,Cyg
HIP 102485,Cap
HIP 102487,Cap
HIP 102488,Cyg
HIP 102531,Del
HIP 102532,Del
HIP 102558,Cep
HIP 102571,Cyg
HIP 102589,Cyg
HIP 102618,Aqr
HIP 102624,Aqr
HIP 102633,Del
HIP 102648,Cyg
HIP 102693,Mic
HIP 102724,Cyg
HIP 102770,Aqr
HIP 102773,Pav
HIP 102790,Ind
HIP 102805,Del
HIP 102819,Del
HIP 102831,Mic
HIP 102843,Cyg
HIP 102945,Aqr
HIP 102949,Vul
HIP 102950,Ind
HIP 102978,Cap
HIP 102989,Mic
HIP 103004,Vul
HIP 103005,Aqr
HIP 103045,Aqr
HIP 103089,Cyg
HIP 103191,Vul
HIP 103200,Vul
HIP 103226,Cap
HIP 103227,Ind
HIP 103261,Aqr
HIP 103294,Del
HIP 103298,Del
HIP 103389,
HIP 103401,Aqr
HIP 103413,Cyg
HIP 103458,
HIP 103511,Vul
HIP 103527,Del
HIP 103545,Aqr
HIP 103569,Equ
HIP 103616,Cap
HIP 103632,Cyg
HIP 103682,Aqr
HIP 103732,Cyg
HIP 103738,Mic
HIP 103813,Equ
HIP 103851,Aqr
HIP 103882,Mic
HIP 103981,Aqr
HIP 104019,Cap
HIP 104031,Equ
HIP 104043,Oct
HIP 104060,Cyg
HIP 104085,Ind
HIP 104101,Equ
HIP 104105,Dra
HIP 104135,Vul
HIP 104139,Cap
HIP 104148,Mic
HIP 104174,PsA
HIP 104177,Mic
HIP 104185,Cyg
HIP 104194,Cyg
HIP 104214,Cyg
HIP 104217,Cyg
HIP 104234,Cap
HIP 104279,Aqr
HIP 104365,Cap
HIP 104371,Cyg
HIP 104382,Oct
HIP 104440,
HIP 104452,Cap
HIP 104459,Aqr
HIP 104521,Equ
HIP 104538,Equ
HIP 104634,Aqr
HIP 104680,506
HIP 104719,Cep
HIP 104732,Cyg
HIP 104750,PsA
HIP 104755,Pav
HIP 104780,
HIP 104858,Equ
HIP 104887,Cyg
HIP 104963,Cap
HIP 104974,Cap
HIP 104987,Equ
HIP 105000,
HIP 105019,Aqr
HIP 105090,
HIP 105091,Cep
HIP 105102,Cyg
HIP 105138,Cyg
HIP 105140,Mic
HIP 105143,Cap
HIP 105164,Aqr
HIP 105184,
HIP 105186,Cyg
HIP 105193,Cep
HIP 105199,Cep
HIP 105214,
HIP 105259,Cep
HIP 105268,Cep
HIP 105269,Cyg
HIP 105312,
HIP 105319,Ind
HIP 105382,Mic
HIP 105411,Vul
HIP 105412,Aqr
HIP 105413,Equ
HIP 105502,Peg
HIP 105515,Cap
HIP 105570,Equ
HIP 105574,Aqr
HIP 105623,Peg
HIP 105665,Cap
HIP 105668,Aqr
HIP 105696,Mic
HIP 105712,571
HIP 105729,Aqr
HIP 105733,Cyg
HIP 105761,Aqr
HIP 105767,Aqr
HIP 105811,Cyg
HIP 105841,Ind
HIP 105858,Pav
HIP 105860,Peg
HIP 105881,Cap
HIP 105928,Cap
HIP 105942,Cyg
HIP 105949,Cep
HIP 105966,Vul
HIP 105972,Cep
HIP 106032,Cep
HIP 106039,Cap
HIP 106044,Pav
HIP 106062,Peg
HIP 106067,PsA
HIP 106093,Cyg
HIP 106140,Peg
HIP 106226,Cep
HIP 106278,Aqr
HIP 106327,Gru
HIP 106340,PsA
HIP 106481,Cyg
HIP 106544,Aqr
HIP 106551,Cyg
HIP 106554,Peg
HIP 106559,Cap
HIP 106604,Cep
HIP 106642,Cyg
HIP 106654,PsA
HIP 106703,PsA
HIP 106711,Cyg
HIP 106723,Cap
HIP 106752,Cyg
HIP 106783,Peg
HIP 106786,Aqr
HIP 106787,Peg
HIP 106801,Cep
HIP 106824,
HIP 106856,Peg
HIP 106897,Peg
HIP 106913,
HIP 106942,Aqr
HIP 106944,Aqr
HIP 106981,Peg
HIP 106985,Cap
HIP 106999,Cyg
HIP 107089,Oct
HIP 107095,Cap
HIP 107097,Cyg
HIP 107119,Cep
HIP 107128,Cap
HIP 107129,Cyg
HIP 107136,Cyg
HIP 107140,Cyg
HIP 107144,Aqr
HIP 107151,Peg
HIP 107162,Cyg
HIP 107188,Cap
HIP 107230,Dra
HIP 107232,Cap
HIP 107251,
HIP 107253,Cyg
HIP 107259,Cep
HIP 107302,Cap
HIP 107310,Cyg
HIP 107315,Peg
HIP 107348,Peg
HIP 107350,Peg
HIP 107354,Peg
HIP 107380,PsA
HIP 107382,Cap
HIP 107418,Cep
HIP 107472,Peg
HIP 107487,Cap
HIP 107516,Aqr
HIP 107517,Cap
HIP 107533,Cyg
HIP 107556,Cap
HIP 107558,Peg
HIP 107575,Peg
HIP 107586,Cep
HIP 107608,PsA
HIP 107649,
HIP 107763,Peg
HIP 107788,Peg
HIP 107835,Ind
HIP 107843,Oct
HIP 107856,Cyg
HIP 107975,Peg
HIP 108022,Peg
HIP 108036,Cap
HIP 108085,Gru
HIP 108133,Cep
HIP 108165,Cep
HIP 108281,Ind
HIP 108317,Cep
HIP 108339,Peg
HIP 108375,
HIP 108431,Ind
HIP 108478,Ind
HIP 108494,Cap
HIP 108535,Cep
HIP 108612,Peg
HIP 108661,PsA
HIP 108691,Aqr
HIP 108693,Peg
HIP 108699,Peg
HIP 108772,Cep
HIP 108797,Aqr
HIP 108845,Cyg
HIP 108868,Aqr
HIP 108870,Ind
HIP 108874,Aqr
HIP 108875,Peg
HIP 108917,Cep
HIP 108924,Cep
HIP 108925,Cep
HIP 108938,Cep
HIP 108952,PsA
HIP 108975,PsA
HIP 108991,Aqr
HIP 109002,Lac
HIP 109005,Cep
HIP 109017,Cep
HIP 109033,Lac
HIP 109056,Peg
HIP 109068,Peg
HIP 109074,Aqr
HIP 109081,Ind
HIP 109082,Lac
HIP 109111,Gru
HIP 109124,Cep
HIP 109139,Aqr
HIP 109176,Peg
HIP 109191,Cep
HIP 109201,Aqr
HIP 109212,Peg
HIP 109240,Peg
HIP 109268,Gru
HIP 109282,PsA
HIP 109285,PsA
HIP 109289,PsA
HIP 109303,Lac
HIP 109332,Aqr
HIP 109352,Peg
HIP 109378,
HIP 109400,Cep
HIP 109410,Peg
HIP 109422,PsA
HIP 109427,Peg
HIP 109439,
HIP 109458,Peg
HIP 109460,Aqr
HIP 109472,Aqr
HIP 109492,Cep
HIP 109556,Cep
HIP 109624,Aqr
HIP 109786,Aqr
HIP 109789,PsA
HIP 109821,
HIP 109822,
HIP 109857,Cep
HIP 109908,Gru
HIP 109937,Lac
HIP 109973,Gru
HIP 110000,Aqr
HIP 110003,Aqr
HIP 110023,Aqr
HIP 110078,Oct
HIP 110103,Cep
HIP 110109,
HIP 110130,Tuc
HIP 110179,Aqr
HIP 110256,Oct
HIP 110273,Aqr
HIP 110298,Peg
HIP 110346,Peg
HIP 110351,Lac
HIP 110371,Peg
HIP 110386,Peg
HIP 110391,Aqr
HIP 110395,Aqr
HIP 110478,Gru
HIP 110506,Gru
HIP 110529,Aqr
HIP 110538,Lac
HIP 110548,Peg
HIP 110569,Peg
HIP 110578,Aqr
HIP 110602,Aqr
HIP 110609,Lac
HIP 110618,Ind
HIP 110649,
HIP 110672,Aqr
HIP 110707,Aqr
HIP 110778,Aqr
HIP 110785,Peg
HIP 110787,Cep
HIP 110813,
HIP 110817,Cep
HIP 110838,Tuc
HIP 110842,Tuc
HIP 110882,Peg
HIP 110893,
HIP 110936,Gru
HIP 110960,Aqr
HIP 110986,Peg
HIP 110988,Cep
HIP 110991,Cep
HIP 110997,Gru
HIP 111022,Lac
HIP 111043,Gru
HIP 111056,Cep
HIP 111062,Peg
HIP 111068,Peg
HIP 111072,Lac
HIP 111086,Aqr
HIP 111104,Lac
HIP 111123,Aqr
HIP 111138,PsA
HIP 111169,Lac
HIP 111170,
HIP 111188,PsA
HIP 111191,Peg
HIP 111196,Oct
HIP 111200,Aqr
HIP 111278,Peg
HIP 111310,Tuc
HIP 111394,Aqr
HIP 111449,Aqr
HIP 111497,Aqr
HIP 111532,Cep
HIP 111544,Lac
HIP 111546,Lac
HIP 111594,Gru
HIP 111643,Gru
HIP 111674,Lac
HIP 111710,Aqr
HIP 111797,Cep
HIP 111809,PsA
HIP 111810,Peg
HIP 111841,Lac
HIP 111884,Peg
HIP 111944,Lac
HIP 111954,PsA
HIP 112029,Peg
HIP 112031,Lac
HIP 112051,Peg
HIP 112078,Aqr
HIP 112102,PsA
HIP 112117,
HIP 112122,Gru
HIP 112158,Peg
HIP 112179,Aqr
HIP 112203,Gru
HIP 112211,Aqr
HIP 112242,Lac
HIP 112247,
HIP 112355,Oct
HIP 112358,Peg
HIP 112374,Gru
HIP 112405,Oct
HIP 112420,Aqr
HIP 112440,Peg
HIP 112447,Peg
HIP 112529,Aqr
HIP 112542,Aqr
HIP 112562,Cep
HIP 112615,Aqr
HIP 112623,Gru
HIP 112716,Aqr
HIP 112724,Cep
HIP 112748,Peg
HIP 112778,Lac
HIP 112781,Oct
HIP 112862,PsA
HIP 112917,Lac
HIP 112935,Peg
HIP 112948,PsA
HIP 112961,Aqr
HIP 112997,Peg
HIP 113009,Lac
HIP 113031,Aqr
HIP 113044,Gru
HIP 113127,Aqr
HIP 113131,Peg
HIP 113136,Aqr
HIP 113137,Ind
HIP 113148,Aqr
HIP 113167,Psc
HIP 113186,Peg
HIP 113190,Gru
HIP 113246,PsA
HIP 113281,Lac
HIP 113283,PsA
HIP 113307,Gru
HIP 113327,Lac
HIP 113357,Peg
HIP 113368,PsA
HIP 113402,Tuc
HIP 113503,Peg
HIP 113521,Psc
HIP 113532,PsA
HIP 113561,Cas
HIP 113610,Psc
HIP 113638,Gru
HIP 113640,And
HIP 113674,Aqr
HIP 113726,And
HIP 113781,Aqr
HIP 113788,And
HIP 113797,Cas
HIP 113802,And
HIP 113853,Cep
HIP 113860,PsA
HIP 113881,Peg
HIP 113889,Psc
HIP 113919,And
HIP 113957,Gru
HIP 113963,Peg
HIP 113996,Aqr
HIP 114104,Cas
HIP 114119,Aqr
HIP 114131,Gru
HIP 114132,Gru
HIP 114144,Peg
HIP 114155,Peg
HIP 114187,Peg
HIP 114189,Peg
HIP 114200,And
HIP 114210,And
HIP 114222,Cep
HIP 114273,Psc
HIP 114322,
HIP 114329,And
HIP 114341,Aqr
HIP 114375,Aqr
HIP 114389,Peg
HIP 114404,Peg
HIP 114421,Gru
HIP 114430,And
HIP 114489,Psc
HIP 114520,Peg
HIP 114526,Peg
HIP 114570,And
HIP 114608,Peg
HIP 114622,
HIP 114708,
HIP 114724,Aqr
HIP 114831,Cep
HIP 114844,Peg
HIP 114855,Aqr
HIP 114904,Cas
HIP 114924,
HIP 114939,Aqr
HIP 114948,
HIP 114971,Psc
HIP 114996,Tuc
HIP 115022,And
HIP 115033,Aqr
HIP 115036,And
HIP 115054,Gru
HIP 115065,And
HIP 115088,Cep
HIP 115102,Scl
HIP 115115,Aqr
HIP 115126,Aqr
HIP 115141,Cas
HIP 115142,Aqr
HIP 115152,And
HIP 115191,And
HIP 115227,Psc
HIP 115250,Peg
HIP 115271,Peg
HIP 115280,And
HIP 115355,Peg
HIP 115404,Aqr
HIP 115407,Peg
HIP 115433,Tuc
HIP 115438,Aqr
HIP 115444,Peg
HIP 115510,Gru
HIP 115530,And
HIP 115550,Cep
HIP 115590,Cas
HIP 115591,Peg
HIP 115623,Peg
HIP 115643,And
HIP 115669,Aqr
HIP 115713,Gru
HIP 115738,Psc
HIP 115755,And
HIP 115768,Psc
HIP 115806,Peg
HIP 115830,Psc
HIP 115836,Oct
HIP 115858,Scl
HIP 115908,Tuc
HIP 115919,Peg
HIP 115990,Cas
HIP 116076,And
HIP 116084,
HIP 116085,
HIP 116106,
HIP 116118,Aqr
HIP 116119,Peg
HIP 116146,Psc
HIP 116228,And
HIP 116231,Scl
HIP 116247,Aqr
HIP 116250,
HIP 116264,Peg
HIP 116310,Peg
HIP 116323,Psc
HIP 116354,And
HIP 116355,Peg
HIP 116389,Phe
HIP 116422,Psc
HIP 116495,Psc
HIP 116584,And
HIP 116592,Peg
HIP 116611,Peg
HIP 116613,And
HIP 116631,And
HIP 116709,And
HIP 116727,Cep
HIP 116737,Phe
HIP 116758,Aqr
HIP 116771,Psc
HIP 116805,And
HIP 116820,Scl
HIP 116889,Aqr
HIP 116901,Aqr
HIP 116904,Aqr
HIP 116928,Psc
HIP 116948,Cas
HIP 116971,Aqr
HIP 116972,Peg
HIP 117020,Peg
HIP 117073,Peg
HIP 117089,Aqr
HIP 117218,Aqr
HIP 117221,And
HIP 117245,Psc
HIP 117301,Cas
HIP 117315,Phe
HIP 117375,Psc
HIP 117430,Cas
HIP 117447,Cas
HIP 117452,Scl
HIP 117491,Psc
HIP 117500,Peg
HIP 117503,And
HIP 117628,Peg
HIP 117629,Aqr
HIP 117681,
HIP 117683,Psc
HIP 117689,Oct
HIP 117712,
HIP 117718,Peg
HIP 117730,Peg
HIP 117756,Aqr
HIP 117761,Psc
HIP 117769,And
HIP 117774,Psc
HIP 117863,Cas
HIP 117887,Psc
HIP 117927,Psc
HIP 117931,Scl
HIP 117957,Cas
HIP 117963,And
HIP 117986,Peg
HIP 118027,Cep
HIP 118077,Cas
HIP 118114,Oct
HIP 118121,Tuc
HIP 118131,Peg
HIP 118162,
HIP 118178,Cet
HIP 118209,Psc
HIP 118214,And
HIP 118234,Phe
HIP 118243,Cas
HIP 118268,Psc
HIP 118277,Scl
HIP 118281,
HIP 118307,Psc
HIP 118319,
HIP 118322,Tuc
